block_number,timestamp,owner_address,token_address,token_symbol,token_amount
211598775,2024-05-15 15:37:42,0x96cf57bba313139edbce72fee70724a4f683bcf5,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-274.0
211598775,2024-05-15 15:37:42,0xb165a74407fe1e519d6bcbdec1ed3202b35a4140,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-71.011279
211598775,2024-05-15 15:37:42,0x217407b3bb2d90eaa92fd9bf12a1f7e96e7b7cc1,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,ETH,-0.21856183490982536
211598775,2024-05-15 15:37:42,0xf715724abba480d4d45f4cb52bef5ce5e3513ccc,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,ETH,-0.9196485293325369
211598775,2024-05-15 15:37:42,0x728ac133a5c9250a61f7b27abbe7a823e786ff66,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-70043.827241
211598775,2024-05-15 15:37:42,0x19360799a15730fac556088793895aa7650ee442,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-42776.645323
211598775,2024-05-15 15:37:42,0x337b7b5f0e5973f0f29e3cc25c33e02603b94cbd,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USDC,-39.72478
211598775,2024-05-15 15:37:42,0x532e6f6263e6a4f50288541ea4d12d61d5f1c005,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,ETH,-0.8600458610144972
211598775,2024-05-15 15:37:42,0xc34c26530dd2323a3c75d1c3b2769c87d0709081,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-15.0
211598775,2024-05-15 15:37:42,0x783596b9504ef2752efb2d4aed248fdcb0d9fdab,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-12000.0
211598775,2024-05-15 15:37:42,0x53f7dbb90a4cd725ed0263fe5f542f41a9bafebf,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USDC,0.009323000000045045
211598775,2024-05-15 15:37:42,0x9610635cd8565861ea44ec77dc3042a414fe13aa,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-32.0
211598775,2024-05-15 15:37:42,0x9e8e9d6b0d24216f59043db68bdda1620892f549,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-372.738623
211598775,2024-05-15 15:37:42,0xdac51643888be5414f0272b9feef97edf723203a,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-5000.0
211598775,2024-05-15 15:37:42,0xe2375a1652ed147a718e9234ecf5f5f614a011b4,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USDC,-53.0
211598775,2024-05-15 15:37:42,0x437e378d630f039fa305f1bd8ac6d1add656b71e,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-500.0
211598775,2024-05-15 15:37:42,0x83ccb4fcd2fa2340c4c6b13b55fbbd0e8caa3eb2,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-1500.0
211598775,2024-05-15 15:37:42,0xf3f9b339ab267fc3e2edabf140fabfa5fa1251cf,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-1000.0
211598775,2024-05-15 15:37:42,0x0a7e98b62ff56a124aa0ee0fbd2ef916b96ed22e,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,-450.0
